Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Total.Loss,Total.Count,Total.Exposed_Value,Exposed_Population,Buildings.Loss,Buildings.Count,Buildings.Exposed_Value,Crops.Loss,Crops.Count,Crops.Exposed_Value,Infrastructure.Loss,Infrastructure.Count,Infrastructure.Exposed_Value,Infrastructure_Exposed_km,Infrastructure_Exposed_sqkm,CropType.Cassava.Loss,CropType.Cassava.Count,CropType.Cassava.Exposed_Value,CropType.Coconut.Loss,CropType.Coconut.Count,CropType.Coconut.Exposed_Value,CropType.Nut_Tree.Loss,CropType.Nut_Tree.Count,CropType.Nut_Tree.Exposed_Value,CropType.Palm_oil.Loss,CropType.Palm_oil.Count,CropType.Palm_oil.Exposed_Value,CropType.Papaya.Loss,CropType.Papaya.Count,CropType.Papaya.Exposed_Value,CropType.Rice.Loss,CropType.Rice.Count,CropType.Rice.Exposed_Value,CropType.Sugarcane.Loss,CropType.Sugarcane.Count,CropType.Sugarcane.Exposed_Value,CropType.Taro.Loss,CropType.Taro.Count,CropType.Taro.Exposed_Value,CropType.Unknown.Loss,CropType.Unknown.Count,CropType.Unknown.Exposed_Value,OccupancyType.Commercial.Loss,OccupancyType.Commercial.Count,OccupancyType.Commercial.Exposed_Value,OccupancyType.Commercial_Accommodation.Loss,OccupancyType.Commercial_Accommodation.Count,OccupancyType.Commercial_Accommodation.Exposed_Value,OccupancyType.Industrial.Loss,OccupancyType.Industrial.Count,OccupancyType.Industrial.Exposed_Value,OccupancyType.Infrastructure.Loss,OccupancyType.Infrastructure.Count,OccupancyType.Infrastructure.Exposed_Value,OccupancyType.Other.Loss,OccupancyType.Other.Count,OccupancyType.Other.Exposed_Value,OccupancyType.Outbuilding.Loss,OccupancyType.Outbuilding.Count,OccupancyType.Outbuilding.Exposed_Value,OccupancyType.Public.Loss,OccupancyType.Public.Count,OccupancyType.Public.Exposed_Value,OccupancyType.Residential.Loss,OccupancyType.Residential.Count,OccupancyType.Residential.Exposed_Value
ssp119 (medium confidence),5,2090,0.174,5,0.1813,1173067,389,22458404,1136,164031,38,10897485,51725,71,97204,957311,18,11462578,3.1952,0.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2090,0.174,10,0.0952,1555836,421,27987168,1188,266906,48,14722428,60571,81,115537,1228358,22,13148014,3.9145999999999996,0.0564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2090,0.174,25,0.0392,6050960,470,60253767,1263,632255,73,20073078,76273,90,132184,5342434,26,40047241,5.1702,0.06509999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2090,0.174,50,0.0198,10624829,535,69934475,1353,1299469,109,27456633,91654,102,157104,9233705,33,42319385,6.5703000000000005,0.0719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2090,0.174,100,0.01,14928174,621,109006763,1485,2628706,157,63250561,116177,119,184462,12183289,37,45570255,9.2366,0.0815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2090,0.174,250,0.004,23996582,802,198069391,1721,6898022,283,125789231,164474,152,236463,16934084,38,72041977,13.093499999999999,0.15360000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2100,0.121,1,0.6321,5926,193,128282,709,0,0,0,64,7,2648,5861,1,124925,0.13729999999999998,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2100,0.121,5,0.1813,1093162,384,20502812,1118,145417,36,9369317,48837,71,95435,898908,18,11036942,3.0185,0.049100000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2100,0.121,10,0.0952,1468825,414,26023561,1172,242252,44,13071976,57938,80,111560,1168635,21,12838853,3.7889,0.0554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp119 (medium confidence),5,2100,0.121,25,0.0392,5202044,460,57814401,1243,573918,68,18348698,72279,90,131881,4555845,25,39332577,5.017399999999999,0.0644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
