Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Total.Loss,Total.Count,Total.Exposed_Value,Exposed_Population,Buildings.Loss,Buildings.Count,Buildings.Exposed_Value,Crops.Loss,Crops.Count,Crops.Exposed_Value,Infrastructure.Loss,Infrastructure.Count,Infrastructure.Exposed_Value,Infrastructure_Exposed_km,Infrastructure_Exposed_sqkm,CropType.Cassava.Loss,CropType.Cassava.Count,CropType.Cassava.Exposed_Value,CropType.Coconut.Loss,CropType.Coconut.Count,CropType.Coconut.Exposed_Value,CropType.Nut_Tree.Loss,CropType.Nut_Tree.Count,CropType.Nut_Tree.Exposed_Value,CropType.Palm_oil.Loss,CropType.Palm_oil.Count,CropType.Palm_oil.Exposed_Value,CropType.Papaya.Loss,CropType.Papaya.Count,CropType.Papaya.Exposed_Value,CropType.Rice.Loss,CropType.Rice.Count,CropType.Rice.Exposed_Value,CropType.Sugarcane.Loss,CropType.Sugarcane.Count,CropType.Sugarcane.Exposed_Value,CropType.Taro.Loss,CropType.Taro.Count,CropType.Taro.Exposed_Value,CropType.Unknown.Loss,CropType.Unknown.Count,CropType.Unknown.Exposed_Value,OccupancyType.Commercial.Loss,OccupancyType.Commercial.Count,OccupancyType.Commercial.Exposed_Value,OccupancyType.Commercial_Accommodation.Loss,OccupancyType.Commercial_Accommodation.Count,OccupancyType.Commercial_Accommodation.Exposed_Value,OccupancyType.Industrial.Loss,OccupancyType.Industrial.Count,OccupancyType.Industrial.Exposed_Value,OccupancyType.Infrastructure.Loss,OccupancyType.Infrastructure.Count,OccupancyType.Infrastructure.Exposed_Value,OccupancyType.Other.Loss,OccupancyType.Other.Count,OccupancyType.Other.Exposed_Value,OccupancyType.Outbuilding.Loss,OccupancyType.Outbuilding.Count,OccupancyType.Outbuilding.Exposed_Value,OccupancyType.Public.Loss,OccupancyType.Public.Count,OccupancyType.Public.Exposed_Value,OccupancyType.Residential.Loss,OccupancyType.Residential.Count,OccupancyType.Residential.Exposed_Value
ssp126 (medium confidence),95,2080,0.647,1,0.6321,115211,262,2514268,925,0,5,338206,6466,28,32695,108745,6,2142443,0.3459,0.0092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2080,0.647,5,0.1813,3079641,468,56114047,1263,430203,66,17437533,80024,97,137721,2569414,24,38537530,4.5819,0.0638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2080,0.647,10,0.0952,6873651,511,63731155,1319,713004,92,22901259,91384,101,143895,6069262,27,40684682,5.5522,0.0691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2080,0.647,25,0.0392,11529186,587,86085366,1412,1537615,133,42578455,108007,118,170011,9883564,34,43335488,7.387700000000001,0.0775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2080,0.647,50,0.0198,15309583,666,117866507,1560,2810197,176,70565865,128016,135,201084,12371370,37,47097998,9.894299999999998,0.0881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2080,0.647,100,0.01,20721872,788,184792061,1686,5292202,261,116178353,156920,155,231815,15272749,38,68380210,12.384500000000001,0.14570000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2080,0.647,250,0.004,32249718,968,243122272,2026,12258517,392,158089411,199427,175,272336,19791775,39,84758499,15.823499999999997,0.18930000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2090,0.753,1,0.6321,164711,283,4232387,937,49,12,1341487,9697,33,37998,154964,10,2851967,0.43820000000000003,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2090,0.753,5,0.1813,4450633,504,58892447,1291,535852,85,19292173,87179,102,142372,3827604,27,39456612,4.9619,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2090,0.753,10,0.0952,8341157,553,66543264,1356,888354,110,25114172,98139,115,150867,7354663,30,41276870,6.046199999999999,0.0713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2090,0.753,25,0.0392,12584499,634,93374195,1458,1845787,152,49108572,115412,132,179534,10623300,34,44084632,8.088999999999999,0.07999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2090,0.753,50,0.0198,16505566,729,131065195,1599,3336218,216,79336200,136045,150,209613,13033301,37,51517787,10.680599999999998,0.1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2090,0.753,100,0.01,22392964,852,197510488,1754,6161399,300,125812222,165767,172,242730,16065796,38,71453781,13.066600000000001,0.1546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2090,0.753,250,0.004,34431474,1115,255933868,2147,13847044,501,169375539,206156,188,280183,20378279,46,86276000,16.5636,0.1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2100,0.86,1,0.6321,221745,289,7175233,948,149,13,3507392,12647,36,45179,208949,10,3621716,0.5738,0.0165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2100,0.86,5,0.1813,5971816,513,63157972,1345,650224,88,22703909,94117,105,146117,5227474,27,40306601,5.419600000000001,0.0688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2100,0.86,10,0.0952,9549969,560,69046571,1392,1098612,113,26932892,104863,118,166102,8346495,30,41946185,6.459,0.0738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2100,0.86,25,0.0392,13679592,641,98188192,1517,2200745,155,53119811,123121,134,188862,11355725,36,44878003,8.9911,0.0825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2100,0.86,50,0.0198,17779623,739,157048682,1627,3920370,222,98928938,144796,154,224899,13714458,37,57893217,11.4965,0.1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2100,0.86,100,0.01,24170042,862,207845359,1816,7109301,306,132241634,174607,173,258251,16886136,38,75343660,13.8224,0.1653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2100,0.86,250,0.004,36745313,1132,275733380,2273,15545483,513,187253868,213363,190,290474,20986468,46,88186767,17.533999999999995,0.19770000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2110,0.99,1,0.6321,295824,306,9243961,975,901,15,4516956,16697,44,57587,278225,11,4668443,0.9277,0.0216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2110,0.99,5,0.1813,8032139,534,66415813,1393,829562,98,25108793,102523,111,151378,7100054,28,41154249,6.0226,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2110,0.99,10,0.0952,10821466,586,83046262,1441,1380426,127,39902214,111999,122,175480,9329040,33,42967127,7.229699999999999,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2110,0.99,25,0.0392,15009825,673,116903020,1580,2716267,172,69767413,132180,144,210722,12161380,37,46923305,10.0198,0.0884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2110,0.99,50,0.0198,19483209,770,175991879,1682,4735745,243,108794691,155368,156,232234,14592095,38,66963272,12.3948,0.1424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2110,0.99,100,0.01,26435376,898,223244773,1893,8395768,334,142892635,184434,174,266684,17855175,38,80083561,14.6621,0.1784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2110,0.99,250,0.004,39837455,1193,308161153,2419,17836930,557,217434285,222514,195,299128,21778010,47,90425322,18.66,0.20339999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2120,1.096,1,0.6321,374285,323,12478973,1000,2765,21,6067407,20535,50,66095,350985,12,6344471,1.2298000000000002,0.0295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2120,1.096,5,0.1813,9331695,556,69243858,1416,1032239,110,27235112,108402,116,159327,8191055,30,41848004,6.476,0.07379999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2120,1.096,10,0.0952,11837535,610,92066830,1480,1647652,141,48170662,117250,126,179781,10072632,34,43714907,7.8532,0.0795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2120,1.096,25,0.0392,16177646,699,128259547,1606,3223676,191,78201262,139698,147,214423,12814269,37,49842255,10.9258,0.09670000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2120,1.096,50,0.0198,21060367,816,189591419,1754,5536837,271,119506292,164182,167,248699,15359348,38,69834675,13.0872,0.1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2120,1.096,100,0.01,28287376,943,233950863,2008,9584322,361,150082455,192666,180,273412,18510388,40,83592988,15.33,0.1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2120,1.096,250,0.004,42615722,1248,327020662,2458,19967680,601,233741111,229554,199,303725,22418488,50,92973368,19.8096,0.2092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2130,1.202,1,0.6321,483366,330,13981579,1004,18176,23,6201016,25050,52,69575,440140,14,7709984,1.4524000000000001,0.0349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2130,1.202,5,0.1813,10293089,579,74027401,1437,1264952,123,31159973,113652,122,175937,8914484,30,42690054,7.0311,0.0766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2130,1.202,10,0.0952,12938170,636,98944566,1513,1956924,155,54238131,124435,134,189949,10856809,34,44514973,8.8111,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2130,1.202,25,0.0392,17447060,739,145870497,1657,3808977,220,90127565,146983,152,224213,13491099,37,55517062,11.812400000000002,0.1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2130,1.202,50,0.0198,22745126,849,204816919,1806,6411648,294,131387583,173203,171,258240,16160274,38,73169290,13.790999999999999,0.1596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2130,1.202,100,0.01,30300229,986,260139527,2069,10906062,385,173629548,202006,191,290550,19192161,43,86217360,16.1265,0.19190000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2130,1.202,250,0.004,45656668,1311,350304454,2587,22331280,638,255009660,236398,209,313425,23088991,51,94978782,20.589100000000002,0.21550000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2140,1.306,1,0.6321,616819,340,14712974,1039,36959,23,6201016,30467,55,76437,549393,17,8434482,1.6496,0.0379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2140,1.306,5,0.1813,11260484,601,85570074,1466,1517028,134,42019530,118257,126,179083,9625198,33,43369995,7.6794,0.0786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2140,1.306,10,0.0952,14034537,662,102127249,1571,2349586,164,56491081,131684,141,200814,11553269,36,45433783,9.610299999999999,0.0848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2140,1.306,25,0.0392,18778043,784,175049700,1703,4445400,246,109635008,155681,165,245087,14176961,37,65167902,12.5641,0.1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2140,1.306,50,0.0198,24596609,900,233753274,1914,7392254,322,155059828,182044,182,274824,17022313,40,78416708,14.511099999999999,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2140,1.306,100,0.01,32405236,1023,270565695,2103,12346407,412,182518846,210546,194,292266,19848283,44,87752480,16.848399999999998,0.19720000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2140,1.306,250,0.004,49006243,1366,365218876,2703,24834718,674,268304729,243102,213,318525,23928423,55,96592919,21.4167,0.2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2150,1.412,1,0.6321,761180,352,15778735,1067,58048,27,6691150,36139,58,78823,666992,17,9007695,2.0177,0.040799999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2150,1.412,5,0.1813,12320273,643,95426822,1503,1807555,154,51133391,124145,140,194307,10388575,34,44097621,8.431700000000001,0.08120000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2150,1.412,10,0.0952,15135999,711,124915571,1648,2819877,189,77128979,138307,153,217867,12177814,38,47567078,10.5487,0.0919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2150,1.412,25,0.0392,20355877,844,207812535,1780,5229508,282,137452330,165076,175,252831,14961295,40,70105594,13.1758,0.1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2150,1.412,50,0.0198,26593799,945,246854143,1956,8525321,351,164041981,191228,189,280612,17877250,41,82529594,15.3321,0.1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2150,1.412,100,0.01,34623279,1110,285315373,2297,13963905,472,195203735,218626,199,295671,20440746,48,89813669,17.7645,0.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp126 (medium confidence),95,2150,1.412,250,0.004,52731404,1440,381001904,2760,27785426,725,282673777,250238,225,328709,24695744,55,97996657,22.1226,0.2246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2020,0.0,1,0.6321,145,159,6050,618,0,0,0,8,2,1144,137,0,4288,0.0889,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2020,0.0,5,0.1813,925620,360,16827334,1092,106767,28,6774702,42104,62,84443,776749,17,9967097,2.6033,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2020,0.0,10,0.0952,1280210,388,23644453,1126,195783,39,11666501,51841,70,98547,1032586,19,11878279,3.4991,0.0519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2020,0.0,25,0.0392,3613677,438,56328572,1217,456838,60,17648391,63783,83,121611,3093056,23,38557353,4.577299999999999,0.0615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2020,0.0,50,0.0198,9031574,489,66237059,1289,946715,89,24869373,80026,91,135049,8004833,28,41231348,5.914,0.0684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2020,0.0,100,0.01,13258306,568,92680156,1392,1997838,134,48732708,100598,106,166500,11159870,34,43779556,7.9691,0.0761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2020,0.0,250,0.004,21272850,741,183662061,1619,5489807,241,116477607,148646,141,224164,15634397,38,66958671,12.007999999999997,0.1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2030,0.036,1,0.6321,1844,179,49772,644,0,0,0,23,4,1556,1823,1,47572,0.1033,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2030,0.036,5,0.1813,974535,374,17879254,1101,118026,33,7498684,44115,66,87942,812396,18,10291528,2.7276,0.0466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2030,0.036,10,0.0952,1335714,401,24164744,1140,208995,42,11879532,53660,76,102836,1073057,19,12181236,3.5855,0.053000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2030,0.036,25,0.0392,4066360,449,56628243,1223,490667,63,17711381,66271,89,125264,3509423,23,38790375,4.715,0.0624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2030,0.036,50,0.0198,9363907,508,66620445,1301,1017715,97,25033725,82380,97,141121,8263811,29,41444297,6.0158000000000005,0.06899999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2030,0.036,100,0.01,13592933,588,93639070,1408,2120621,139,49429673,103837,111,169485,11368475,36,44038505,8.2454,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2030,0.036,250,0.004,21824238,765,186500887,1632,5772683,259,118331449,151770,145,226154,15899784,38,67941652,12.2203,0.14179999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2040,0.071,1,0.6321,3498,181,92284,673,0,0,0,38,4,1956,3460,1,89653,0.11730000000000002,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2040,0.071,5,0.1813,1022095,375,18902361,1109,128971,33,8202555,46073,67,91750,847053,18,10606946,2.8484,0.047599999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2040,0.071,10,0.0952,1389674,403,25183015,1155,221839,43,12599067,55430,76,107005,1112405,19,12475788,3.6694999999999998,0.054099999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2040,0.071,25,0.0392,4506552,452,56973294,1234,523553,64,17817882,68691,89,128817,3914306,24,39025361,4.8488999999999995,0.0633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2040,0.071,50,0.0198,9687059,510,67009896,1314,1086742,97,25193511,84675,98,149054,8515642,30,41666016,6.1147,0.0697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2040,0.071,100,0.01,13918262,589,94948178,1424,2239993,140,50484104,106984,111,172387,11571288,36,44290262,8.513999999999998,0.0777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2040,0.071,250,0.004,22360310,769,189910991,1648,6047703,262,120783928,154809,145,228088,16157799,38,68897329,12.4267,0.1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2050,0.116,1,0.6321,5672,193,128099,706,0,0,0,61,7,2563,5611,1,124829,0.1353,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2050,0.116,5,0.1813,1085623,382,20320846,1116,143661,35,9227676,48565,71,95269,893398,18,10996785,3.0018,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2050,0.116,10,0.0952,1460623,413,25972797,1171,239926,44,13050071,57691,79,111039,1163009,21,12810517,3.777,0.0553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2050,0.116,25,0.0392,5123282,458,57676749,1240,568415,68,18238796,71903,90,131853,4482964,25,39304859,5.0020999999999995,0.0643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2050,0.116,50,0.0198,10099663,525,67573999,1343,1177565,102,25470939,87670,102,155280,8834428,33,41946438,6.277399999999999,0.0706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2050,0.116,100,0.01,14346399,604,97177739,1440,2401561,148,52301366,111015,116,176234,11833822,36,44698698,8.8411,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2050,0.116,250,0.004,23062235,788,193490212,1669,6410158,274,123059775,158871,149,230882,16493204,38,70197888,12.704899999999999,0.14830000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2060,0.15,1,0.6321,7397,198,131019,731,0,0,0,94,8,4576,7304,1,125713,0.15389999999999998,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2060,0.15,5,0.1813,1136887,389,21579974,1130,155603,38,10212603,50420,71,96403,930866,18,11269838,3.1151999999999997,0.049999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2060,0.15,10,0.0952,1516448,421,27281528,1181,255742,48,14157308,59383,81,113891,1201327,22,13009148,3.8577,0.055999999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2060,0.15,25,0.0392,5668356,470,59275238,1257,605839,73,19364117,74465,90,132047,4988052,26,39777819,5.1019,0.06470000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2060,0.15,50,0.0198,10407520,533,68870325,1348,1249027,108,26547566,90009,102,156349,9068489,33,42165062,6.4491000000000005,0.0713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2060,0.15,100,0.01,14688064,618,104731834,1467,2534718,156,59326366,114044,118,181226,12039306,37,45222777,9.074399999999999,0.0804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2060,0.15,250,0.004,23609958,800,196223351,1702,6696150,281,124708478,162158,152,234267,16751654,38,71278906,12.9327,0.15139999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2070,0.198,1,0.6321,9834,199,139991,759,0,0,0,146,9,12375,9690,1,126856,0.1779,5.0E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2070,0.198,5,0.1813,1209254,390,23338422,1143,172462,38,11582368,53034,72,99592,983757,18,11655319,3.2752,0.0516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2070,0.198,10,0.0952,1595222,421,28692810,1195,278068,48,15287549,61765,81,117185,1255391,22,13286882,3.9715,0.0569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2070,0.198,25,0.0392,6433576,471,61233932,1271,658671,73,20782041,78089,91,133957,5696818,26,40316664,5.2383999999999995,0.0655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2070,0.198,50,0.0198,10842136,536,74598292,1357,1349912,110,31965368,93303,102,157859,9398922,33,42473708,6.6915,0.07239999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2070,0.198,100,0.01,15168287,622,113324997,1500,2722697,158,67218345,118313,119,187416,12327279,37,45917736,9.3988,0.0825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2070,0.198,250,0.004,24383210,804,200542963,1742,7099898,284,127494712,166795,153,241463,17116517,38,72805048,13.254299999999999,0.15580000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssp245 (medium confidence),5,2080,0.237,1,0.6321,13420,214,206155,772,0,0,0,234,16,14908,13185,2,190475,0.19,6.000000000000001E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
