Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Total.Loss,Total.Count,Total.Exposed_Value,Exposed_Population,Buildings.Loss,Buildings.Count,Buildings.Exposed_Value,Crops.Loss,Crops.Count,Crops.Exposed_Value,Infrastructure.Loss,Infrastructure.Count,Infrastructure.Exposed_Value,Infrastructure_Exposed_km,Infrastructure_Exposed_sqkm,CropType.Banana.Loss,CropType.Banana.Count,CropType.Banana.Exposed_Value,CropType.Cassava.Loss,CropType.Cassava.Count,CropType.Cassava.Exposed_Value,CropType.Coconut.Loss,CropType.Coconut.Count,CropType.Coconut.Exposed_Value,CropType.Cultivated_Land.Loss,CropType.Cultivated_Land.Count,CropType.Cultivated_Land.Exposed_Value,CropType.Mixed_Crops.Loss,CropType.Mixed_Crops.Count,CropType.Mixed_Crops.Exposed_Value,CropType.Nut_Tree.Loss,CropType.Nut_Tree.Count,CropType.Nut_Tree.Exposed_Value,CropType.Rice.Loss,CropType.Rice.Count,CropType.Rice.Exposed_Value,CropType.Sugarcane.Loss,CropType.Sugarcane.Count,CropType.Sugarcane.Exposed_Value,CropType.Unknown.Loss,CropType.Unknown.Count,CropType.Unknown.Exposed_Value,CropType.Yam.Loss,CropType.Yam.Count,CropType.Yam.Exposed_Value,OccupancyType.Commercial.Loss,OccupancyType.Commercial.Count,OccupancyType.Commercial.Exposed_Value,OccupancyType.Commercial_Accommodation.Loss,OccupancyType.Commercial_Accommodation.Count,OccupancyType.Commercial_Accommodation.Exposed_Value,OccupancyType.Industrial.Loss,OccupancyType.Industrial.Count,OccupancyType.Industrial.Exposed_Value,OccupancyType.Infrastructure.Loss,OccupancyType.Infrastructure.Count,OccupancyType.Infrastructure.Exposed_Value,OccupancyType.Other.Loss,OccupancyType.Other.Count,OccupancyType.Other.Exposed_Value,OccupancyType.Outbuilding.Loss,OccupancyType.Outbuilding.Count,OccupancyType.Outbuilding.Exposed_Value,OccupancyType.Public.Loss,OccupancyType.Public.Count,OccupancyType.Public.Exposed_Value,OccupancyType.Residential.Loss,OccupancyType.Residential.Count,OccupancyType.Residential.Exposed_Value
ssp119 (medium confidence),95,2060,0.391,250,0.004,28689856,4772,463314784,29880,14752155,1692,401060222,125312,1130,562390,13812389,36,61662294,68.05120000000001,0.1449,,,,,,,120255,1122,549279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106061,171,938844,894376,96,26543526,7103711,936,133940245
ssp119 (medium confidence),95,2070,0.49,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),95,2070,0.49,5,0.1813,10196755,3822,325863906,26386,5058065,1239,272879236,76818,837,414751,5061872,25,52543536,45.7721,0.1307,,,,,,,72822,831,406639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40328,127,700202,358763,79,22697839,2147563,685,98349404
ssp119 (medium confidence),95,2070,0.49,10,0.0952,13717675,4029,355292862,26963,6442707,1345,298434903,85707,892,441949,7189261,29,56389044,50.596,0.1353,,,,,,,81536,886,433550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50927,136,761711,447761,81,23471824,2818278,736,105997330
ssp119 (medium confidence),95,2070,0.49,25,0.0392,18852646,4319,407947336,27889,8635482,1502,347825330,97940,973,484113,10119224,34,59610003,56.850100000000005,0.1413,,,,,,,93565,966,472763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67035,152,852051,572907,88,24478965,3872202,829,119411210
ssp119 (medium confidence),95,2070,0.49,50,0.0198,22577612,4508,446221538,28836,10774152,1593,384714586,108168,1026,510971,11695289,35,60967146,61.665600000000005,0.14300000000000002,,,,,,,103470,1018,498003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80544,160,897977,697144,93,25358563,4914817,878,126442584
ssp119 (medium confidence),95,2070,0.49,100,0.01,26580639,4696,461451303,29533,13339549,1665,399406787,119507,1101,547473,13121583,36,61467511,66.46050000000001,0.1444,,,,,,,114475,1093,534362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97294,170,941954,839971,98,27343520,6217772,915,131670300
ssp119 (medium confidence),95,2070,0.49,250,0.004,32535053,4989,488943852,30585,17539062,1791,426085552,136985,1199,596635,14859006,37,62231081,72.6435,0.1496,,,,,,,131494,1190,582233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123028,182,1023654,1050988,104,29204429,8481304,980,143679253
ssp119 (medium confidence),95,2080,0.579,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),95,2080,0.579,5,0.1813,12718529,4035,350660532,26899,6133511,1357,296190663,84538,892,438629,6500479,25,54004344,49.6516,0.1353,,,,,,,80351,886,430230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48390,138,766554,433875,82,23438422,2635601,742,104499604
ssp119 (medium confidence),95,2080,0.579,10,0.0952,16726751,4258,383588675,27476,7756830,1472,324504400,93855,955,471101,8876064,32,58585699,54.6653,0.1406,,,,,,,89524,948,460113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60570,146,803734,533128,88,24472357,3398380,812,114697243
ssp119 (medium confidence),95,2080,0.579,25,0.0392,21752667,4515,439580628,28750,10348737,1596,378135850,106943,1034,511608,11296988,35,60904420,60.8152,0.1434,,,,,,,102221,1026,498798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77975,162,910683,684928,94,25649634,4638747,877,124980434
ssp119 (medium confidence),95,2080,0.579,50,0.0198,25651604,4705,459829211,29504,12782033,1678,397753719,117733,1097,542308,12751839,35,61503682,65.8068,0.14509999999999998,,,,,,,112663,1088,528064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93568,170,940938,825856,99,27101531,5834680,923,130224416
ssp119 (medium confidence),95,2080,0.579,100,0.01,29886316,4911,481058633,30162,15656996,1775,418560428,129736,1165,576590,14099586,36,61891454,70.2596,0.1473,,,,,,,124318,1156,562346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111795,182,1023667,979761,103,27918270,7327425,970,138950966
ssp119 (medium confidence),95,2080,0.579,250,0.004,36420748,5202,511531007,31306,20515942,1903,447053636,147933,1260,623735,15756873,39,63822333,76.7904,0.15289999999999998,,,,,,,142153,1251,609190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140575,195,1101315,1210704,113,30015022,9939021,1030,150000625
ssp119 (medium confidence),95,2090,0.674,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),95,2090,0.674,5,0.1813,15820959,4245,376489022,27536,7488019,1466,318251775,93165,948,467146,8239777,32,57742566,54.5968,0.1403,,,,,,,88832,941,456321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58362,145,801347,526819,87,24382066,3232708,808,113035082
ssp119 (medium confidence),95,2090,0.674,10,0.0952,19859128,4463,417590983,28388,9364429,1579,356446526,103186,1015,500763,10391510,34,60615307,59.6005,0.1434,,,,,,,98537,1007,488024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71805,161,892708,640449,93,25298838,4112961,868,123209665
ssp119 (medium confidence),95,2090,0.674,25,0.0392,25010209,4717,462322126,29383,12436681,1701,400190142,117107,1093,540081,12456424,35,61562518,65.9061,0.14579999999999999,,,,,,,111981,1084,525909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91319,174,984475,822383,102,27456337,5581758,933,131447346
ssp119 (medium confidence),95,2090,0.674,50,0.0198,29165799,4925,480270599,30173,15190569,1793,417075006,128501,1160,572906,13846728,37,62592516,70.4203,0.1473,,,,,,,123043,1151,558361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108968,184,1040382,978046,107,28071222,6969273,976,138754274
ssp119 (medium confidence),95,2090,0.674,100,0.01,33754600,5122,502659918,30988,18510084,1883,439096872,141086,1226,605634,15103429,38,62926422,74.7993,0.1506,,,,,,,135347,1217,591089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129327,194,1097779,1142967,111,29549482,8699921,1015,147250632
ssp119 (medium confidence),95,2090,0.674,250,0.004,40888893,5403,532487000,32001,24104052,1985,466797813,160323,1341,661019,16624517,39,64996167,82.4581,0.1592,,,,,,,154130,1330,644382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161028,200,1136718,1406586,117,31704552,11688828,1067,154170165
ssp119 (medium confidence),95,2100,0.793,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),95,2100,0.793,5,0.1813,19853612,4668,421289791,28474,9623677,1690,360555552,105173,1074,504879,10124763,34,60200887,60.4851,0.1442,,,,,,,100418,1065,491868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73075,171,902005,673122,105,26271681,4175068,920,123656091
ssp119 (medium confidence),95,2100,0.793,10,0.0952,24015616,4860,452680218,29316,11959772,1775,390155124,116002,1141,538872,11939839,36,61956905,65.3039,0.146,,,,,,,110873,1132,525094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88486,183,987471,814701,106,26718832,5277734,962,131099979
ssp119 (medium confidence),95,2100,0.793,25,0.0392,29570851,5104,488701276,30233,15648095,1883,425714549,130840,1217,577032,13791915,38,62379462,71.51780000000001,0.14830000000000002,,,,,,,125283,1208,562487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111825,191,1051836,1023936,112,28976894,7072846,1016,140804080
ssp119 (medium confidence),95,2100,0.793,50,0.0198,34187931,5278,507118610,30970,18970659,1964,443113847,143086,1279,610937,15074186,39,63362858,76.2261,0.1512,,,,,,,137140,1267,594410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132187,200,1116312,1195660,114,29176314,8764043,1054,147320720
ssp119 (medium confidence),95,2100,0.793,100,0.01,39288726,5500,525895794,31745,22931179,2051,461485143,156547,1361,646543,16201001,40,63732364,81.3142,0.1555,,,,,,,150233,1349,630017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155449,206,1161095,1389950,118,31129197,10839779,1102,153550258
ssp119 (medium confidence),95,2100,0.793,250,0.004,47132953,5817,557228388,32885,29355448,2157,489450679,177473,1504,710163,17600032,42,67034662,89.44380000000001,0.1711,,,,,,,170504,1491,691457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190643,214,1186746,1698598,124,32743750,14341408,1166,160679790
ssp119 (medium confidence),95,2110,0.891,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),95,2110,0.891,5,0.1813,23181362,4689,462263493,29274,11468309,1702,400184092,115321,1082,539454,11597731,34,61510674,65.23689999999999,0.1468,,,,,,,110158,1073,525038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85599,174,998795,799534,105,27896352,4990442,924,132080768
ssp119 (medium confidence),95,2110,0.891,10,0.0952,27502000,4875,481013857,30067,14216243,1780,417611992,126774,1148,572034,13158984,36,62799764,69.8541,0.1482,,,,,,,121244,1139,557554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102759,183,1059187,966146,106,28004528,6292004,964,138002506
ssp119 (medium confidence),95,2110,0.891,25,0.0392,33422914,5117,510846917,30973,18411926,1892,447098651,142343,1220,607612,14868644,38,63109681,75.8707,0.1505,,,,,,,136450,1211,593067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129456,194,1109886,1195492,112,30012184,8363259,1020,148893478
ssp119 (medium confidence),95,2110,0.891,50,0.0198,38449234,5304,529770148,31605,22240128,1975,465286295,155310,1287,643303,16053795,39,63808946,80.9946,0.1548,,,,,,,148963,1275,624688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152109,200,1163286,1380008,114,30136958,10316954,1060,153638665
ssp119 (medium confidence),95,2110,0.891,100,0.01,43979151,5525,548071236,32331,26738801,2060,483119392,169540,1370,683718,17070811,40,64235795,86.8343,0.1598,,,,,,,162706,1358,665104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177765,206,1207973,1602124,118,32234617,12684990,1107,158122696
ssp119 (medium confidence),95,2110,0.891,250,0.004,52402336,5843,584513407,33794,33825651,2168,514826724,191925,1510,753860,18384760,42,68899030,95.0682,0.18159999999999998,,,,,,,184264,1496,732379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215833,217,1241579,1947935,125,34311769,16618327,1170,172715978
ssp119 (medium confidence),95,2120,0.985,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),95,2120,0.985,5,0.1813,26628431,4880,482191337,30035,13708635,1789,418898041,125849,1145,568807,12793949,36,62694454,69.4585,0.1485,,,,,,,120327,1136,554262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99798,182,1056425,950623,107,28114941,5990991,967,137798391
ssp119 (medium confidence),95,2120,0.985,10,0.0952,31159799,5071,500705026,30719,16838922,1878,436996947,137854,1203,598808,14183024,37,63078551,74.2281,0.15009999999999998,,,,,,,132025,1193,583044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119619,192,1100858,1134566,111,28706054,7506172,1013,144091577
ssp119 (medium confidence),95,2120,0.985,25,0.0392,37648323,5325,526535277,31596,21657396,1984,462153215,154408,1296,644581,15836518,40,63705883,80.9873,0.1542,,,,,,,148005,1284,626414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149413,203,1182353,1378436,114,30212734,9893812,1063,153602357
ssp119 (medium confidence),95,2120,0.985,50,0.0198,43025347,5513,548230888,32157,26017188,2065,483447573,167968,1362,677471,16840188,41,64073687,86.2534,0.15889999999999999,,,,,,,161064,1350,658665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174572,208,1213624,1595068,119,32170223,12146214,1103,157817101
ssp119 (medium confidence),95,2120,0.985,100,0.01,49004844,5735,568777312,33183,31014864,2142,503312184,183149,1458,725345,17806831,41,64706599,92.35189999999999,0.16639999999999996,,,,,,,175657,1444,704101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202479,216,1235828,1845671,121,32893906,14846002,1150,164405876
ssp119 (medium confidence),95,2120,0.985,250,0.004,58110306,6049,602482270,34393,38796975,2259,530919395,207093,1594,793461,19106240,42,70735020,100.38449999999999,0.18869999999999998,,,,,,,198368,1579,770742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242955,228,1307244,2220478,133,36691319,19215989,1211,176925135
ssp119 (medium confidence),95,2130,1.074,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),95,2130,1.074,5,0.1813,30055965,5058,499749511,30493,16133886,1878,436072458,136310,1202,595163,13785769,37,63051395,73.4956,0.1503,,,,,,,130496,1192,579557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115310,190,1118016,1111280,111,28755222,7104413,1012,143368279
ssp119 (medium confidence),95,2130,1.074,10,0.0952,35000313,5262,518126628,31157,19719243,1967,453901530,149017,1274,630404,15132052,39,63563538,78.9148,0.15250000000000002,,,,,,,142757,1262,612333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138082,200,1166167,1306071,114,29861541,8843083,1055,150816391
ssp119 (medium confidence),95,2130,1.074,25,0.0392,41939763,5520,547762804,32183,25197454,2075,483054649,166410,1360,674660,16575901,41,64001311,85.7254,0.1587,,,,,,,159467,1347,654793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170767,209,1216624,1581100,118,31900963,11597637,1110,158889558
ssp119 (medium confidence),95,2130,1.074,50,0.0198,47725745,5718,567371965,32896,30008649,2152,502299440,180817,1442,713782,17536280,41,64325845,91.2967,0.1646,,,,,,,173219,1428,692854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198307,219,1244001,1826856,121,32997799,14136786,1150,164234151
ssp119 (medium confidence),95,2130,1.074,100,0.01,54168393,5963,585469817,33871,35493265,2243,519159396,197110,1546,764834,18478015,42,65511716,97.0124,0.1723,,,,,,,188596,1531,742251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227996,228,1300534,2098169,129,34790794,17158079,1200,169473021
ssp119 (medium confidence),95,2130,1.074,250,0.004,64129164,6269,618037208,34925,44051456,2347,544435183,222199,1687,835024,19855510,43,72732075,105.58000000000001,0.197,,,,,,,212429,1670,809999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270556,237,1361176,2505811,137,38335862,21965191,1260,180621538
ssp119 (medium confidence),95,2140,1.16,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),95,2140,1.16,5,0.1813,33662127,5264,515835030,31042,18824185,1968,451695166,147015,1272,624803,14690928,40,63484018,78.163,0.1525,,,,,,,140800,1260,607128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132717,201,1167577,1278057,113,29639775,8345427,1056,149399834
ssp119 (medium confidence),95,2140,1.16,10,0.0952,38942142,5453,537943081,31788,22857269,2053,473386254,160399,1334,657986,15924472,41,63867052,83.68270000000001,0.1565,,,,,,,153633,1321,638320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157928,208,1202374,1489704,115,30337745,10318060,1097,156848150
ssp119 (medium confidence),95,2140,1.16,25,0.0392,46411174,5699,561791242,32736,28981296,2157,496821854,178727,1427,704094,17251151,41,64232557,90.548,0.1635,,,,,,,171051,1413,682994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193635,219,1241131,1801278,122,33112886,13463968,1150,163553359
ssp119 (medium confidence),95,2140,1.16,50,0.0198,52646805,5937,583075010,33566,34250342,2240,517657761,194122,1532,751456,18202341,42,64632226,96.019,0.1686,,,,,,,185555,1517,729045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223003,226,1267989,2070585,128,34441531,16300115,1196,168834469
ssp119 (medium confidence),95,2140,1.16,100,0.01,59654028,6159,601966385,34426,40282939,2331,534358431,211233,1622,799746,19159852,43,66773781,101.83959999999999,0.17859999999999998,,,,,,,201695,1606,775982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254248,236,1351151,2360954,135,36863308,19628561,1250,176501342
ssp119 (medium confidence),95,2140,1.16,250,0.004,70530605,6492,634042757,35785,49684299,2462,558378802,237266,1755,869279,20609040,46,74758888,110.6407,0.20740000000000003,,,,,,,226482,1736,841910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298622,253,1426365,2812978,138,38815930,24861194,1322,186123678
ssp119 (medium confidence),95,2150,1.247,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp119 (medium confidence),95,2150,1.247,5,0.1813,37575917,5446,532723884,31592,21875025,2053,468196301,158471,1337,655242,15542420,41,63840749,83.1649,0.15610000000000002,,,,,,,151753,1324,635762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152574,210,1203609,1460193,115,30294693,9769708,1098,155743556
ssp119 (medium confidence),95,2150,1.247,10,0.0952,43244265,5628,554701617,32394,26423959,2133,489927047,172520,1398,686717,16647787,41,64055460,88.4788,0.1614,,,,,,,165086,1384,665803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179994,217,1228024,1695403,121,31863419,12035825,1135,161594604
ssp119 (medium confidence),95,2150,1.247,25,0.0392,51326138,5916,582128180,33263,33195168,2250,516917607,191983,1513,738145,17938987,42,64439164,95.4887,0.1678,,,,,,,183347,1498,715894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218592,227,1272961,2045674,128,34576200,15574876,1201,168248583
ssp119 (medium confidence),95,2150,1.247,50,0.0198,58109807,6141,595694235,34240,39009245,2335,529787786,208226,1602,787199,18892336,43,65085008,100.79950000000001,0.1729,,,,,,,198570,1586,763622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249674,238,1333967,2333984,132,35873347,18730174,1247,172124197
ssp119 (medium confidence),95,2150,1.247,100,0.01,65726624,6379,619665182,35188,45617557,2432,550366174,226009,1702,835523,19883058,46,68428294,107.1419,0.1859,,,,,,,215419,1683,809260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282467,251,1405546,2651032,137,38269488,22368421,1303,182734456
ssp119 (medium confidence),95,2150,1.247,250,0.004,77537785,6733,653468431,36782,55901059,2562,575945759,253130,1844,906910,21383599,49,76578979,115.7588,0.22069999999999998,,,,,,,241180,1820,874840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328590,267,1489768,3156804,142,43770251,28057411,1381,191590972
ssp126 (low confidence),5,2030,0.028,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp126 (low confidence),5,2030,0.028,5,0.1813,3659956,3058,158987578,22842,1766183,855,140522275,42723,632,299396,1851049,19,18143067,27.925399999999996,0.1005,,,,,,,40174,629,295299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11397,94,549400,119824,59,11717745,630544,484,69448508
ssp126 (low confidence),5,2030,0.028,10,0.0952,4665456,3221,198910806,23629,2349109,938,177573213,49414,675,321260,2266933,20,20992705,31.7367,0.1085,,,,,,,46580,672,317163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16555,99,584939,158346,62,13434026,897001,533,78602808
ssp126 (low confidence),5,2030,0.028,25,0.0392,6609814,3457,256960951,24427,3286469,1047,208850816,58658,744,355118,3264687,22,47730593,36.703900000000004,0.1187,,,,,,,55521,740,350619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24683,108,607704,214920,67,15066646,1355839,591,85114568
ssp126 (low confidence),5,2030,0.028,50,0.0198,8887809,3625,287740360,25048,4180692,1129,237311763,66335,785,379864,4640784,24,50023686,40.8048,0.1254,,,,,,,63005,781,374333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32430,121,637114,271700,72,16782288,1836456,631,91383418
ssp126 (low confidence),5,2030,0.028,100,0.01,11686140,3842,321647040,25907,5300894,1227,267223351,74863,854,406639,6310384,29,53991144,45.367399999999996,0.1297,,,,,,,71329,849,400706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42089,127,675270,343343,75,20490202,2453769,684,98131970
ssp126 (low confidence),5,2030,0.028,250,0.004,16662244,4123,356622824,27070,7326836,1362,297860142,87982,932,449498,9247426,34,58286115,52.549899999999994,0.134,,,,,,,84172,926,442131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57360,136,756634,452694,78,20964178,3571643,761,108208744
ssp126 (low confidence),5,2040,0.046,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp126 (low confidence),5,2040,0.046,5,0.1813,3814908,3076,166256129,23020,1848594,863,147165724,43896,635,303617,1922419,19,18763768,28.5957,0.1018,,,,,,,41273,632,299520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12135,94,554894,126266,60,12137715,667131,488,70645428
ssp126 (low confidence),5,2040,0.046,10,0.0952,4842140,3243,204190567,23715,2453714,947,182602854,50655,684,326662,2337772,20,21237338,32.37929999999999,0.1098,,,,,,,47756,681,322565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17475,100,586907,165635,63,13609415,943723,537,79383759
ssp126 (low confidence),5,2040,0.046,25,0.0392,6943177,3481,262540558,24538,3420353,1058,214140313,60011,751,360325,3462813,22,48015383,37.399,0.12,,,,,,,56819,747,355569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25903,109,612332,224080,69,16395930,1422699,597,86344903
ssp126 (low confidence),5,2040,0.046,50,0.0198,9254364,3661,294758724,25275,4343136,1144,243679302,67771,795,384608,4843454,24,50669541,41.6336,0.1262,,,,,,,64385,791,379077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33884,121,641847,283992,72,17690300,1919899,639,92564935
ssp126 (low confidence),5,2040,0.046,100,0.01,12182975,3866,325952019,26085,5497511,1238,270705393,76408,862,412958,6609055,30,54807584,46.2212,0.1306,,,,,,,72813,857,406767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43758,127,689688,356949,76,20637829,2554506,692,99632333
ssp126 (low confidence),5,2040,0.046,250,0.004,17237784,4152,359322988,27198,7600379,1376,300426031,89666,943,455610,9547738,34,58414147,53.43860000000001,0.1346,,,,,,,85801,937,447985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59371,139,768487,469036,80,21170414,3710131,769,109411880
ssp126 (low confidence),5,2050,0.089,1,0.6321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
ssp126 (low confidence),5,2050,0.089,5,0.1813,4185068,3091,184593110,23346,2045464,873,164009052,46693,639,314465,2092909,19,20246248,30.192300000000003,0.1053,,,,,,,43891,636,310368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13900,94,568018,141657,60,13098404,754532,496,74659272
ssp126 (low confidence),5,2050,0.089,10,0.0952,5264215,3260,215546126,23964,2703601,953,193360292,53610,690,339233,2507004,20,21822637,33.9322,0.1132,,,,,,,50559,687,335136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19673,101,591771,183047,63,13916867,1055336,539,80980973
ssp126 (low confidence),5,2050,0.089,25,0.0392,7739519,3509,275483537,24808,3740187,1074,226392911,63238,756,372652,3936093,22,48693167,39.0057,0.1231,,,,,,,59915,752,367278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28816,111,626792,245964,69,17828701,1582421,606,90046827
